ELECTION,SPENDERID,SPENDER_NAME,C_CODE,STRNO,STRNAME,APARTMENT,CITY,STATE,ZIP,FILING,COMMUNICATION_ID,COMMUNICATION_NAME,COMM_DATE,COMM_PURPOSECD,COMM_PURPOSE,COMM_AMNT,CANDID,CANDNAME,OFFICECD,OFFICE_BORO_DISTRICT,ALLOCATION,POSITION
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,36,6937,TEXT MESSAGES,9/9/2025,TEXT,Text Messages,16750,1545,"Adams, Eric L",1,,16749.5400,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,32,6858,TSHIRT,8/11/2025,BUTTON,Button / Pen / Shirt,6269,1545,"Adams, Eric L",1,,6269.4400,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6931,TSHIRT,9/1/2025,BUTTON,Button / Pen / Shirt,3750,1545,"Adams, Eric L",1,,3750.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,5748,1/2 Page Ad,6/9/2025,PRINT,Print Ad,12540,2993,"Cuomo, Andrew M",1,,12540.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6655,6/23/2025,6/23/2025,ROBO,Robo Call,42000,2993,"Cuomo, Andrew M",1,,42000.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,15,4205,Ad 2,4/8/2025,TVADS,Video (TV/Cable),2279181,2993,"Cuomo, Andrew M",1,,2279181.3000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7410,Additional Social Media Post,10/31/2025,INTAD,Internet - Display/Banner,60000,2993,"Cuomo, Andrew M",1,,60000.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,18,5252,Allegory Ad 3,5/4/2025,TVADS,Video (TV/Cable),756994,2993,"Cuomo, Andrew M",1,,756994.3300,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6445,AMNY News Ad 6.19,6/20/2025,PRINT,Print Ad,5075,2993,"Cuomo, Andrew M",1,,5075.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6031,Amsterdam News Ad,6/12/2025,PRINT,Print Ad,5075,2993,"Cuomo, Andrew M",1,,5075.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7368,Anti Sliwa Palmcards,10/30/2025,LITER,Leaflet/Flyer,890800,2618,"Sliwa, Curtis A",1,,890800.0000,Oppose
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6310,Applecart Digital Ad,6/18/2025,INTVID,Video (Internet),35000,2993,"Cuomo, Andrew M",1,,35000.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6309,Applecart Direct Mail,6/18/2025,MAIL,Mass Mailing,203967,2993,"Cuomo, Andrew M",1,,203967.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6312,Applecart Phone Campaign,6/18/2025,PHONE,Phone Calls - Live,132505,2993,"Cuomo, Andrew M",1,,132504.5000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,35,6916,Banner Digital Ads,9/3/2025,INTAD,Internet - Display/Banner,6500,2899,"Mamdani, Zohran K",1,,6500.0000,Oppose
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7177,Banner Digital Ads NYC Voice,10/20/2025,INTAD,Internet - Display/Banner,3500,2899,"Mamdani, Zohran K",1,,3500.0000,Oppose
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,40,7066,Bilingual Palm Cards 10/8,10/10/2025,LITER,Leaflet/Flyer,11000,2993,"Cuomo, Andrew M",1,,11000.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6318,Brooklyn Mailer,6/17/2025,MAIL,Mass Mailing,26225,2993,"Cuomo, Andrew M",1,,26224.7100,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6625,Caribbean Life Email Blast,6/23/2025,EMAIL,Emails,500,2993,"Cuomo, Andrew M",1,,500.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7382,Caribbean Life Full page,10/30/2025,PRINT,Print Ad,3571,2993,"Cuomo, Andrew M",1,,3571.4200,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,20,5307,Challenge Ad 4,5/13/2025,TVADS,Video (TV/Cable),82203,2993,"Cuomo, Andrew M",1,,82202.8200,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,20,5302,Challenge Ad 4 Revised,5/16/2025,TVADS,Video (TV/Cable),3076723,2993,"Cuomo, Andrew M",1,,3076723.2700,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7404,Chinese Palm Cards,10/31/2025,LITER,Leaflet/Flyer,5500,2993,"Cuomo, Andrew M",1,,5500.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,5950,Citywide Mailer #2,6/11/2025,MAIL,Mass Mailing,348573,2993,"Cuomo, Andrew M",1,,348573.3900,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6214,Citywide Mailer #3,6/15/2025,MAIL,Mass Mailing,387570,2899,"Mamdani, Zohran K",1,,387570.1000,Oppose
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6322,Citywide Mailer #4,6/17/2025,MAIL,Mass Mailing,297153,2993,"Cuomo, Andrew M",1,,297152.5900,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7308,Crisis Video,10/28/2025,TVADS,Video (TV/Cable),1700000,2899,"Mamdani, Zohran K",1,,1700000.0000,Oppose
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7202,Crown Heights Election Ad,10/22/2025,OTHER,Other,17850,2993,"Cuomo, Andrew M",1,,17850.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,5913,Crown Heights Mailer 1,6/11/2025,MAIL,Mass Mailing,8839,2993,"Cuomo, Andrew M",1,,8838.6500,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,5914,Crown Heights Mailer 2,6/11/2025,MAIL,Mass Mailing,8839,2993,"Cuomo, Andrew M",1,,8838.6600,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6668,CTV Ads Record,6/20/2025,TVADS,Video (TV/Cable),160000,2993,"Cuomo, Andrew M",1,,160000.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7412,Cuomo Early Voting Banners,10/31/2025,INTAD,Internet - Display/Banner,2500,2993,"Cuomo, Andrew M",1,,2500.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7383,Cuomo V Mamdani Policy Video Ad,10/28/2025,INTVID,Video (Internet),5667,2993,"Cuomo, Andrew M",1,,5666.6700,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,11,4156,Digital Ad,3/12/2025,INTVID,Video (Internet),132008,2993,"Cuomo, Andrew M",1,,132007.7800,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,20,5304,Digital Ad 15sec Chaos,5/16/2025,INTVID,Video (Internet),117269,2993,"Cuomo, Andrew M",1,,117268.5500,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,20,5303,Digital Ad 15sec WIN,5/13/2025,INTVID,Video (Internet),197028,2993,"Cuomo, Andrew M",1,,197028.2300,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6528,Digital Ad Meta,6/21/2025,INTVID,Video (Internet),50000,2993,"Cuomo, Andrew M",1,,50000.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6529,Digital Ad Meta 2,6/21/2025,INTVID,Video (Internet),50000,2993,"Cuomo, Andrew M",1,,50000.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6530,Digital Ad Meta 3,6/21/2025,INTVID,Video (Internet),50000,2993,"Cuomo, Andrew M",1,,50000.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7408,Digital Ad_Pivot,10/31/2025,INTVID,Video (Internet),20000,2993,"Cuomo, Andrew M",1,,20000.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7409,Digital Ad_Pivot 2,10/31/2025,INTVID,Video (Internet),20000,2993,"Cuomo, Andrew M",1,,20000.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6574,DN 6.23 Ad,6/23/2025,PRINT,Print Ad,50000,2993,"Cuomo, Andrew M",1,,50000.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,43,7473,ElectionDay Calls,11/4/2025,PHONE,Phone Calls - Live,20000,2993,"Cuomo, Andrew M",1,,20000.0000,Support
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6339,Flatbush Jewish AD1,6/19/2025,PRINT,Print Ad,8333,2899,"Mamdani, Zohran K",1,,8333.0000,Oppose
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6341,Flatbush Jewish AD2,6/19/2025,PRINT,Print Ad,8333,2899,"Mamdani, Zohran K",1,,8333.0000,Oppose
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6342,Flatbush Jewish AD3,6/19/2025,PRINT,Print Ad,8334,2993,"Cuomo, Andrew M",1,,8334.0000,Support
