AD,ED,County,EDAD Status,Event,Party/Independent Body,Office/Position Title,District Key,VoteFor,Unit Name,Tally
61,068,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Irene Estrada (Conservative),0
61,068,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Working Families),52
61,068,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Protect Animals),1
61,068,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Eric L. Adams (Safe&Affordable/EndAntiSemitism),4
61,068,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Joseph Hernandez (Quality of Life),0
61,068,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Andrew M. Cuomo (Fight and Deliver),465
61,068,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Jim Walden (Integrity),1
61,068,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Scattered,4
61,069,New York,COMBINED INTO 061/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,0
61,069,New York,COMBINED INTO 061/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
61,069,New York,COMBINED INTO 061/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,0
61,069,New York,COMBINED INTO 061/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,0
61,070,New York,COMBINED INTO 061/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,0
61,070,New York,COMBINED INTO 061/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
61,070,New York,COMBINED INTO 061/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,0
61,070,New York,COMBINED INTO 061/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,0
61,071,New York,COMBINED INTO 060/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,0
61,071,New York,COMBINED INTO 060/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
61,071,New York,COMBINED INTO 060/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,0
61,071,New York,COMBINED INTO 060/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,0
61,072,New York,COMBINED INTO 060/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,0
61,072,New York,COMBINED INTO 060/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
61,072,New York,COMBINED INTO 060/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,0
61,072,New York,COMBINED INTO 060/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,0
61,073,New York,COMBINED INTO 061/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,0
61,073,New York,COMBINED INTO 061/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
61,073,New York,COMBINED INTO 061/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,0
61,073,New York,COMBINED INTO 061/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,0
61,074,New York,COMBINED INTO 060/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,0
61,074,New York,COMBINED INTO 060/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
61,074,New York,COMBINED INTO 060/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,0
61,074,New York,COMBINED INTO 060/61,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,0
65,001,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,765
65,001,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
65,001,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,105
65,001,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,54
65,001,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Democratic),422
65,001,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Republican),39
65,001,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Irene Estrada (Conservative),2
65,001,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Working Families),43
65,001,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Protect Animals),4
65,001,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Eric L. Adams (Safe&Affordable/EndAntiSemitism),2
65,001,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Joseph Hernandez (Quality of Life),1
65,001,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Andrew M. Cuomo (Fight and Deliver),403
65,001,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Jim Walden (Integrity),2
65,001,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Scattered,3
65,002,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,689
65,002,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
65,002,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,67
65,002,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,25
65,002,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Democratic),356
65,002,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Republican),13
65,002,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Irene Estrada (Conservative),1
65,002,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Working Families),58
65,002,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Protect Animals),0
65,002,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Eric L. Adams (Safe&Affordable/EndAntiSemitism),1
65,002,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Joseph Hernandez (Quality of Life),1
65,002,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Andrew M. Cuomo (Fight and Deliver),345
65,002,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Jim Walden (Integrity),1
65,002,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Scattered,3
65,003,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,849
65,003,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
65,003,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,77
65,003,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,45
65,003,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Democratic),433
65,003,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Republican),34
65,003,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Irene Estrada (Conservative),0
65,003,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Working Families),46
65,003,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Protect Animals),3
65,003,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Eric L. Adams (Safe&Affordable/EndAntiSemitism),1
65,003,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Joseph Hernandez (Quality of Life),3
65,003,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Andrew M. Cuomo (Fight and Deliver),443
65,003,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Jim Walden (Integrity),1
65,003,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Scattered,5
65,004,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,726
65,004,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
65,004,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,84
65,004,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,29
65,004,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Democratic),355
65,004,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Republican),28
65,004,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Irene Estrada (Conservative),0
65,004,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Working Families),46
65,004,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Protect Animals),1
65,004,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Eric L. Adams (Safe&Affordable/EndAntiSemitism),1
