AD,ED,County,Candidate,Tally
23,045,Queens,Irene Estrada,0
23,045,Queens,Jim Walden,0
23,045,Queens,Joseph Hernandez,0
23,045,Queens,Zohran Kwame Mamdani,103
23,046,Queens,Andrew M. Cuomo,326
23,046,Queens,Curtis A. Sliwa,100
23,046,Queens,Eric L. Adams,0
23,046,Queens,Irene Estrada,1
23,046,Queens,Jim Walden,1
23,046,Queens,Joseph Hernandez,2
23,046,Queens,Zohran Kwame Mamdani,388
23,047,Queens,Andrew M. Cuomo,247
23,047,Queens,Curtis A. Sliwa,143
23,047,Queens,Eric L. Adams,1
23,047,Queens,Irene Estrada,0
23,047,Queens,Jim Walden,0
23,047,Queens,Joseph Hernandez,1
23,047,Queens,Zohran Kwame Mamdani,174
23,048,Queens,Andrew M. Cuomo,301
23,048,Queens,Curtis A. Sliwa,160
23,048,Queens,Eric L. Adams,0
23,048,Queens,Irene Estrada,1
23,048,Queens,Jim Walden,0
23,048,Queens,Joseph Hernandez,0
23,048,Queens,Zohran Kwame Mamdani,198
23,049,Queens,Andrew M. Cuomo,324
23,049,Queens,Curtis A. Sliwa,129
23,049,Queens,Eric L. Adams,0
23,049,Queens,Irene Estrada,1
23,049,Queens,Jim Walden,1
23,049,Queens,Joseph Hernandez,0
23,049,Queens,Zohran Kwame Mamdani,246
23,050,Queens,Andrew M. Cuomo,117
23,050,Queens,Curtis A. Sliwa,45
23,050,Queens,Eric L. Adams,0
23,050,Queens,Irene Estrada,0
23,050,Queens,Jim Walden,0
23,050,Queens,Joseph Hernandez,0
23,050,Queens,Zohran Kwame Mamdani,160
23,051,Queens,Andrew M. Cuomo,164
23,051,Queens,Curtis A. Sliwa,59
23,051,Queens,Eric L. Adams,1
23,051,Queens,Irene Estrada,2
23,051,Queens,Jim Walden,0
23,051,Queens,Joseph Hernandez,1
23,051,Queens,Zohran Kwame Mamdani,226
23,052,Queens,Andrew M. Cuomo,99
23,052,Queens,Curtis A. Sliwa,26
23,052,Queens,Eric L. Adams,0
23,052,Queens,Irene Estrada,0
23,052,Queens,Jim Walden,0
23,052,Queens,Joseph Hernandez,0
23,052,Queens,Zohran Kwame Mamdani,177
23,053,Queens,Andrew M. Cuomo,141
23,053,Queens,Curtis A. Sliwa,38
23,053,Queens,Eric L. Adams,1
23,053,Queens,Irene Estrada,1
23,053,Queens,Jim Walden,0
23,053,Queens,Joseph Hernandez,0
23,053,Queens,Zohran Kwame Mamdani,514
23,054,Queens,Andrew M. Cuomo,139
23,054,Queens,Curtis A. Sliwa,44
23,054,Queens,Eric L. Adams,0
23,054,Queens,Irene Estrada,0
23,054,Queens,Jim Walden,0
23,054,Queens,Joseph Hernandez,0
23,054,Queens,Zohran Kwame Mamdani,452
23,055,Queens,Andrew M. Cuomo,67
23,055,Queens,Curtis A. Sliwa,24
23,055,Queens,Eric L. Adams,0
23,055,Queens,Irene Estrada,0
23,055,Queens,Jim Walden,1
23,055,Queens,Joseph Hernandez,0
23,055,Queens,Zohran Kwame Mamdani,134
23,056,Queens,Andrew M. Cuomo,89
23,056,Queens,Curtis A. Sliwa,26
23,056,Queens,Eric L. Adams,1
23,056,Queens,Irene Estrada,1
23,056,Queens,Jim Walden,0
23,056,Queens,Joseph Hernandez,0
23,056,Queens,Zohran Kwame Mamdani,119
23,057,Queens,Andrew M. Cuomo,96
23,057,Queens,Curtis A. Sliwa,46
23,057,Queens,Eric L. Adams,2
23,057,Queens,Irene Estrada,0
23,057,Queens,Jim Walden,0
23,057,Queens,Joseph Hernandez,0
23,057,Queens,Zohran Kwame Mamdani,162
23,058,Queens,Andrew M. Cuomo,228
23,058,Queens,Curtis A. Sliwa,165
23,058,Queens,Eric L. Adams,1
23,058,Queens,Irene Estrada,0
23,058,Queens,Jim Walden,0
23,058,Queens,Joseph Hernandez,0
23,058,Queens,Zohran Kwame Mamdani,61
23,059,Queens,Andrew M. Cuomo,255
23,059,Queens,Curtis A. Sliwa,115
23,059,Queens,Eric L. Adams,0
23,059,Queens,Irene Estrada,0
23,059,Queens,Jim Walden,0
23,059,Queens,Joseph Hernandez,0
23,059,Queens,Zohran Kwame Mamdani,27
23,060,Queens,Andrew M. Cuomo,203
23,060,Queens,Curtis A. Sliwa,127
23,060,Queens,Eric L. Adams,1
23,060,Queens,Irene Estrada,1
23,060,Queens,Jim Walden,0
23,060,Queens,Joseph Hernandez,1
23,060,Queens,Zohran Kwame Mamdani,163
23,062,Queens,Andrew M. Cuomo,235
23,062,Queens,Curtis A. Sliwa,73
23,062,Queens,Eric L. Adams,0
23,062,Queens,Irene Estrada,0
23,062,Queens,Jim Walden,2
23,062,Queens,Joseph Hernandez,0
23,062,Queens,Zohran Kwame Mamdani,289
23,063,Queens,Andrew M. Cuomo,116
23,063,Queens,Curtis A. Sliwa,21
23,063,Queens,Eric L. Adams,1
