ELECTION,SPENDERID,SPENDER_NAME,C_CODE,STRNO,STRNAME,APARTMENT,CITY,STATE,ZIP,FILING,COMMUNICATION_ID,COMMUNICATION_NAME,COMM_DATE,COMM_PURPOSECD,COMM_PURPOSE,COMM_AMNT,CANDID,CANDNAME,OFFICECD,OFFICE_BORO_DISTRICT,ALLOCATION,POSITION,MEDIA_TYPE
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,23,5659,FTC HEY AD,2025-06-05,TVADS,Video (TV/Cable),1015170,2993,"Cuomo, Andrew M",1,,1015170.0,Support,television
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,23,5663,FTC Kids Spanish Ad,2025-06-06,INTVID,Video (Internet),170000,2993,"Cuomo, Andrew M",1,,170000.0,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6525,Google Ads,2025-06-21,INTAD,Internet - Display/Banner,50000,2993,"Cuomo, Andrew M",1,,50000.0,Support,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6666,Google Ads Joke,2025-06-20,INTVID,Video (Internet),80000,2993,"Cuomo, Andrew M",1,,80000.0,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6667,Google Ads Praise,2025-06-20,INTVID,Video (Internet),80000,2993,"Cuomo, Andrew M",1,,80000.0,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6513,Kiosks 1,2025-06-21,INTAD,Internet - Display/Banner,97500,2993,"Cuomo, Andrew M",1,,97500.0,Support,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6514,Kiosks 2,2025-06-21,INTAD,Internet - Display/Banner,97500,2993,"Cuomo, Andrew M",1,,97500.0,Support,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,43,7475,Leadership Not Noise Cuomo,2025-11-04,INTVID,Video (Internet),150000,2993,"Cuomo, Andrew M",1,,150000.0,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,40,7061,Live Ads and Posting 10/06 - 10/13,2025-10-06,INTAD,Internet - Display/Banner,151500,2993,"Cuomo, Andrew M",1,,151500.0,Support,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6575,Local Paper Display,2025-06-23,PRINT,Print Ad,50000,2993,"Cuomo, Andrew M",1,,50000.0,Support,print
